timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,altitude,activity
3050,-0.01,-0.01,-0.02,0.78,0.95,1.06,211.70,Lift
5559,0.03,0.03,0.03,-7.95,-8.00,-8.08,210.93,Lift
8068,0.10,0.09,0.11,5.30,5.25,5.15,210.57,Lift
10577,0.11,0.11,0.11,-5.85,-5.93,-5.94,210.79,Lift
13086,0.01,0.01,0.01,2.32,2.31,2.36,211.51,Lift
15594,0.05,0.05,0.05,-3.08,-3.04,-3.05,212.53,Lift
18103,-0.02,-0.02,-0.02,-9.04,-9.07,-9.14,213.65,Lift
20612,0.03,0.03,0.03,-0.76,-0.85,-0.85,214.51,Lift
23121,0.03,0.03,0.03,-1.02,-1.07,-1.16,215.20,Lift
25630,0.00,0.00,0.00,-0.21,-0.11,-0.10,215.61,Lift
28139,0.01,0.01,0.01,-1.53,-1.60,-1.52,215.99,Lift
30648,0.02,0.02,0.02,-1.41,-1.51,-1.61,216.25,Lift
33157,-0.00,0.00,0.00,-0.70,-0.63,-0.72,216.48,Lift
35666,0.01,0.01,0.01,-0.50,-0.50,-0.56,216.58,Lift
38175,0.02,0.02,0.02,-2.60,-2.64,-2.80,216.26,Lift
40684,0.05,0.04,0.04,-2.32,-2.27,-2.17,215.58,Lift
43193,0.04,0.04,0.05,-0.58,-0.41,-0.38,214.58,Lift
45702,0.05,0.05,0.05,-1.28,-1.11,-0.98,213.26,Lift
48211,0.08,0.08,0.08,-6.95,-6.97,-6.98,211.74,Lift
50720,-0.06,-0.06,-0.06,19.01,19.18,19.31,210.21,Lift
53229,0.01,0.01,0.02,-63.01,-63.15,-63.24,208.48,Lift
55737,-0.04,-0.05,-0.04,2.30,2.18,2.07,206.76,Lift
58246,0.16,0.16,0.16,-16.63,-16.53,-16.40,205.22,Lift
60755,0.13,0.14,0.14,-8.89,-8.95,-9.00,204.01,Lift
63264,0.09,0.09,0.09,-2.61,-2.53,-2.48,203.15,Lift
65773,0.09,0.09,0.08,-16.50,-16.85,-16.98,202.54,Lift
68282,0.12,0.11,0.11,23.24,22.96,22.79,202.18,Lift
70791,0.08,0.08,0.09,-4.46,-4.82,-5.08,201.83,Lift
73300,0.12,0.12,0.12,-5.47,-5.36,-5.28,201.61,Lift
75809,0.17,0.17,0.17,5.05,4.80,4.59,201.61,Lift
78318,0.02,0.03,0.03,7.44,7.44,7.44,202.23,Lift
80827,-0.02,-0.02,-0.02,60.35,60.81,61.21,203.10,Lift
83336,0.07,0.07,0.07,28.43,28.84,29.15,204.26,Lift
85845,0.12,0.12,0.12,16.60,16.88,17.22,205.58,Lift
88354,0.07,0.07,0.07,0.07,0.34,0.45,207.01,Lift
90863,-0.04,-0.04,-0.04,-13.82,-13.55,-13.21,208.69,Lift
93372,-0.13,-0.13,-0.13,-3.35,-3.59,-3.77,210.41,Lift
95881,0.09,0.09,0.09,-24.05,-23.89,-23.66,212.18,Lift
98390,-0.00,-0.01,-0.00,2.02,1.99,2.07,213.64,Lift
100899,0.00,0.00,-0.00,-0.01,0.10,0.13,214.66,Lift
103408,0.00,-0.01,-0.01,-1.50,-1.51,-1.58,215.34,Lift
105917,-0.01,-0.01,-0.02,-1.15,-1.18,-1.27,215.82,Lift
108426,-0.03,-0.03,-0.03,0.18,0.17,0.21,216.07,Lift
110935,-0.02,-0.02,-0.02,-0.85,-0.86,-0.91,216.38,Lift
113444,-0.03,-0.03,-0.03,-1.99,-1.93,-2.01,216.62,Lift
115953,-0.02,-0.02,-0.02,-1.33,-1.38,-1.31,216.52,Lift
118462,-0.03,-0.04,-0.04,-0.21,-0.24,-0.32,215.94,Lift
120971,-0.03,-0.04,-0.04,-3.36,-3.31,-3.23,215.03,Lift
123480,-0.06,-0.06,-0.06,-1.83,-1.62,-1.41,213.84,Lift
125989,-0.05,-0.05,-0.05,-3.75,-3.82,-3.79,212.40,Lift
128498,-0.04,-0.04,-0.04,-1.00,-0.93,-0.86,210.79,Lift
131007,-0.03,-0.03,-0.03,-0.62,-0.56,-0.59,209.13,Lift
133516,-0.03,-0.03,-0.03,-2.73,-2.73,-2.73,207.41,Lift
136025,-0.01,-0.01,-0.01,1.21,1.40,1.36,205.78,Lift
138534,-0.05,-0.04,-0.05,1.34,1.24,1.13,204.55,Lift
141043,-0.03,-0.03,-0.03,-2.22,-2.15,-2.09,203.71,Lift
143552,-0.05,-0.05,-0.04,-5.13,-5.29,-5.43,203.06,Lift
146061,-0.02,-0.02,-0.02,-1.31,-1.29,-1.37,202.56,Lift
148570,0.01,0.01,0.01,1.24,1.30,1.31,202.15,Lift
151079,0.01,0.01,0.01,-0.92,-1.00,-1.06,201.91,Lift
153588,-0.02,-0.02,-0.02,-2.58,-2.34,-2.24,201.71,Lift
156097,0.07,0.07,0.07,1.18,1.07,0.92,201.16,Lift
158606,0.07,0.07,0.07,4.92,4.76,4.52,200.50,Lift
161115,0.02,0.02,0.02,3.57,3.53,3.56,200.04,Lift
163624,0.01,0.01,0.01,-2.73,-2.75,-2.68,199.65,Lift
166133,0.00,0.00,0.00,-0.70,-0.56,-0.48,199.41,Lift
168642,0.01,0.01,0.01,-1.75,-1.74,-1.66,199.26,Lift
171151,-0.01,-0.01,-0.01,-0.48,-0.54,-0.60,199.14,Lift
173660,-0.03,-0.03,-0.03,-5.08,-4.98,-4.95,199.07,Lift
176169,-0.02,-0.02,-0.02,-4.53,-4.78,-5.00,199.30,Lift
178678,-0.02,-0.02,-0.02,-2.95,-3.05,-3.11,200.02,Lift
181187,-0.01,-0.01,-0.01,-1.94,-1.93,-1.93,201.06,Lift
183696,-0.02,-0.02,-0.02,-2.21,-2.31,-2.38,202.39,Lift
186205,-0.06,-0.05,-0.05,-1.33,-1.25,-1.14,203.88,Lift
188714,0.00,-0.00,0.00,-1.86,-1.85,-1.76,205.38,Lift
191223,-0.03,-0.03,-0.03,-2.47,-2.40,-2.44,207.00,Lift
193732,0.00,0.00,0.00,1.86,1.93,1.99,208.76,Lift
196241,-0.03,-0.03,-0.03,-4.64,-4.66,-4.63,210.45,Lift
198750,0.04,0.04,0.04,-1.51,-1.56,-1.60,211.82,Lift
201259,0.00,-0.00,-0.00,-1.40,-1.21,-0.98,213.36,Lift
203768,0.01,0.01,0.02,-3.72,-3.56,-3.54,214.46,Lift
206276,0.03,0.03,0.02,-5.89,-6.02,-6.12,215.21,Lift
208785,0.01,0.01,0.01,-3.70,-3.79,-3.82,215.74,Lift
213803,-0.04,-0.03,-0.04,-2.34,-2.30,-2.30,216.43,Lift
216312,0.00,0.00,0.00,-1.11,-1.08,-1.08,216.65,Lift
218821,0.01,0.01,0.02,-0.25,-0.19,-0.11,216.59,Lift
221330,0.02,0.02,0.03,-5.44,-5.46,-5.45,216.08,Lift
223839,0.03,0.03,0.03,-1.87,-1.95,-1.85,215.23,Lift
226348,0.01,0.01,0.01,-1.17,-1.17,-1.18,214.11,Lift
228857,0.00,0.01,0.00,4.02,4.09,4.19,212.73,Lift
231366,0.02,0.02,0.02,3.50,3.49,3.36,211.26,Lift
233875,0.04,0.03,0.04,-0.73,-0.73,-0.66,209.67,Lift
236384,0.04,0.04,0.04,-0.51,-0.38,-0.30,208.00,Lift
238893,0.06,0.06,0.06,-0.92,-0.89,-0.92,206.25,Lift
241402,0.05,0.06,0.06,-1.12,-1.26,-1.29,204.47,Lift
243911,0.05,0.05,0.05,-1.00,-0.95,-0.89,202.88,Lift
246420,0.03,0.03,0.03,-5.74,-5.61,-5.39,201.94,Lift
248929,0.04,0.05,0.05,-1.45,-1.37,-1.31,201.04,Lift
251438,0.03,0.03,0.03,-2.05,-2.04,-2.03,200.39,Lift
253947,0.06,0.05,0.05,4.49,4.59,4.75,199.88,Lift
256456,0.03,0.03,0.03,-0.59,-0.65,-0.68,199.59,Lift
258965,0.03,0.03,0.03,-0.95,-0.96,-0.91,199.37,Lift
261474,0.05,0.05,0.05,-0.84,-0.89,-0.98,199.44,Lift
263983,0.04,0.04,0.04,-0.33,-0.34,-0.39,200.02,Lift
266492,0.04,0.04,0.04,-2.50,-2.46,-2.44,201.02,Lift
269001,0.06,0.06,0.06,0.51,0.53,0.53,202.19,Lift
271510,0.04,0.04,0.04,-1.15,-1.24,-1.29,203.59,Lift
33108,0.04,0.04,0.05,-4.18,-4.25,-4.28,217.72,Lift
35617,0.05,0.06,0.06,-1.40,-1.36,-1.34,217.49,Lift
38126,0.01,0.01,0.02,-1.18,-1.14,-0.98,216.80,Lift
40635,0.02,0.02,0.03,-1.08,-1.18,-1.24,215.75,Lift
43144,0.02,0.02,0.02,-1.92,-1.75,-1.77,214.48,Lift
45653,0.03,0.03,0.02,-2.37,-2.44,-2.47,213.06,Lift
48162,0.01,0.01,0.01,-7.66,-7.68,-7.55,211.45,Lift
50671,0.05,0.05,0.05,-2.08,-2.15,-2.23,209.80,Lift
53180,0.07,0.07,0.07,0.76,0.73,0.63,208.03,Lift
55689,0.06,0.06,0.06,-0.21,-0.21,-0.23,206.33,Lift
58198,0.03,0.03,0.03,-1.34,-1.27,-1.26,205.07,Lift
60707,0.04,0.04,0.04,-1.27,-1.38,-1.45,204.12,Lift
63215,0.04,0.04,0.04,-0.45,-0.46,-0.31,203.59,Lift
65724,0.04,0.04,0.04,-1.76,-1.73,-1.79,203.06,Lift
68233,0.04,0.04,0.04,-2.95,-2.77,-2.60,202.68,Lift
70742,0.05,0.04,0.04,-0.44,-0.39,-0.25,202.42,Lift
73251,0.06,0.06,0.06,-1.28,-1.34,-1.44,202.33,Lift
75760,0.08,0.08,0.08,-1.08,-1.09,-1.04,202.73,Lift
