timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,altitude,activity,delta_time,accelX_rate_of_change,accelY_rate_of_change,accelZ_rate_of_change,gyroX_rate_of_change,gyroY_rate_of_change,gyroZ_rate_of_change,altitude_rate_of_change
90671,-0.17,-0.18,-0.18,20.7,19.07,17.56,213.86,Stairs,2509.0,-8.369868473495417e-05,-8.76843363889996e-05,-8.76843363889996e-05,0.0055599840573933,0.0050498206456755,0.0045874850538062,-5.181347150258886e-05
93180,-0.15,-0.16,-0.16,-56.27,-56.93,-57.51,213.5,Stairs,2509.0,7.97130330809088e-06,7.97130330809087e-06,7.97130330809087e-06,-0.0306775607811877,-0.0302909525707453,-0.029920286966919,-0.0001434834595456
95689,-0.17,-0.17,-0.18,-51.32,-53.05,-54.76,213.06,Stairs,2509.0,-7.97130330809088e-06,-3.98565165404544e-06,-7.97130330809087e-06,0.0019728975687524,0.0015464328417696,0.0010960542048624,-0.0001753686727779
98198,-0.08,-0.08,-0.08,-71.0,-70.7,-70.47,212.42,Stairs,2509.0,3.587086488640893e-05,3.587086488640893e-05,3.985651654045436e-05,-0.0078437624551614,-0.0070346751693901,-0.0062614587485053,-0.0002550817058589
100707,-0.24,-0.24,-0.24,-51.17,-49.85,-48.61,211.79,Stairs,2509.0,-6.377042646472697e-05,-6.377042646472697e-05,-6.377042646472697e-05,0.007903547229972,0.0083100836986847,0.0087126345157433,-0.0002510960542048
103216,-0.08,-0.08,-0.08,43.11,43.89,44.68,211.56,Stairs,2509.0,6.377042646472697e-05,6.377042646472697e-05,6.377042646472697e-05,0.0375767237943403,0.0373614986050219,0.0371821442805898,-9.166998804304096e-05
105725,-0.17,-0.18,-0.18,68.34,68.35,68.27,211.67,Stairs,2509.0,-3.587086488640893e-05,-3.985651654045436e-05,-3.985651654045436e-05,0.0100557991231566,0.0097489039457951,0.0094021522518931,4.384216819449391e-05
108234,-0.03,-0.02,-0.02,34.26,33.76,33.46,212.04,Stairs,2509.0,5.579912315663611e-05,6.377042646472698e-05,6.377042646472698e-05,-0.0135831008369868,-0.0137863690713431,-0.0138740534077321,0.0001474691111996
110743,-0.24,-0.24,-0.24,-80.95,-80.5,-79.98,212.38,Stairs,2509.0,-8.369868473495416e-05,-8.76843363889996e-05,-8.76843363889996e-05,-0.0459186927062574,-0.0455400557991231,-0.0452132323634914,0.0001355121562375
113252,-0.19,-0.19,-0.19,80.97,80.77,80.49,212.78,Stairs,2509.0,1.992825827022718e-05,1.992825827022718e-05,1.992825827022718e-05,0.0645356715823037,0.0642766042247907,0.0639577520924671,0.0001594260661618
115761,-0.19,-0.19,-0.2,32.37,33.63,34.88,213.37,Stairs,2509.0,0.0,0.0,-3.98565165404544e-06,-0.0193702670386608,-0.0187883618971701,-0.0181785571941012,0.0002351534475886
118270,-0.44,-0.44,-0.44,-30.8,-31.2,-31.51,214.04,Stairs,2509.0,-9.964129135113592e-05,-9.964129135113592e-05,-9.565563969709048e-05,-0.025177361498605,-0.0258389796731765,-0.0264607413312076,0.000267038660821
120779,-0.17,-0.17,-0.17,19.56,20.02,20.38,214.39,Stairs,2509.0,0.0001076125946592,0.0001076125946592,0.0001076125946592,0.0200717417297728,0.0204145077720207,0.0206815464328417,0.0001394978078915
123288,-0.15,-0.15,-0.15,-36.1,-35.29,-34.47,214.38,Stairs,2509.0,7.97130330809088e-06,7.97130330809088e-06,7.97130330809088e-06,-0.0221841371064169,-0.0220446392985253,-0.0218612993224392,-3.985651654041811e-06
125797,-0.33,-0.32,-0.32,37.16,37.0,36.76,214.19,Stairs,2509.0,-7.174172977281786e-05,-6.775607811877243e-05,-6.775607811877243e-05,0.0291988840175368,0.0288122758070944,0.0283897967317656,-7.572738142686239e-05
128306,-0.21,-0.21,-0.21,41.0,40.85,40.56,213.82,Stairs,2509.0,4.782781984854525e-05,4.384216819449981e-05,4.384216819449981e-05,0.0015304902351534,0.0015344758868074,0.0015145476285372,-0.0001474691111996
130815,-0.37,-0.36,-0.36,-1.37,-0.79,-0.31,213.22,Stairs,2509.0,-6.377042646472698e-05,-5.9784774810681545e-05,-5.9784774810681545e-05,-0.0168872060581905,-0.0165962534874451,-0.0162893583100837,-0.0002391390992427
133324,-0.52,-0.53,-0.54,-49.75,-50.93,-51.99,212.66,Stairs,2509.0,-5.978477481068155e-05,-6.775607811877243e-05,-7.174172977281788e-05,-0.0192825827022718,-0.0199840573933838,-0.0205978477481068,-0.0002231964926265
135833,-0.66,-0.66,-0.66,-70.21,-70.98,-71.78,211.91,Stairs,2509.0,-5.579912315663611e-05,-5.1813471502590674e-05,-4.782781984854524e-05,-0.0081546432841769,-0.0079912315663611,-0.0078876046233559,-0.0002989238740534
138341,-0.28,-0.28,-0.28,101.85,102.9,104.02,211.44,Stairs,2508.0,0.0001515151515151,0.0001515151515151,0.0001515151515151,0.0686044657097288,0.0693301435406698,0.0700956937799043,-0.0001874003189792
140850,-0.28,-0.28,-0.28,75.18,75.15,75.17,211.34,Stairs,2509.0,0.0,0.0,0.0,-0.0106297329613391,-0.011060183339976,-0.011498605021921,-3.98565165404521e-05
143359,-0.36,-0.36,-0.36,87.63,87.02,86.31,211.44,Stairs,2509.0,-3.188521323236348e-05,-3.188521323236348e-05,-3.188521323236348e-05,0.0049621363092865,0.0047309685133519,0.0044400159426066,3.98565165404521e-05
145868,-0.56,-0.56,-0.56,-2.79,-3.38,-4.1,211.65,Stairs,2509.0,-7.971303308090875e-05,-7.971303308090875e-05,-7.971303308090875e-05,-0.0360382622558788,-0.0360302909525707,-0.0360342766042247,8.369868473495733e-05
148377,-0.26,-0.26,-0.25,2.98,2.51,2.25,211.98,Stairs,2509.0,0.0001195695496213,0.0001195695496213,0.0001235552012754,0.0022997210043842,0.0023475488242327,0.0025308888003188,0.0001315265045834
150886,-0.2,-0.2,-0.2,-14.99,-14.64,-14.29,212.43,Stairs,2509.0,2.3913909924272617e-05,2.3913909924272617e-05,1.992825827022718e-05,-0.0071622160223196,-0.0068353925866879,-0.0065922678357911,0.000179354324432
153395,-0.32,-0.32,-0.32,21.58,21.73,21.97,212.94,Stairs,2509.0,-4.782781984854524e-05,-4.782781984854524e-05,-4.782781984854524e-05,0.0145755280988441,0.0144958150657632,0.0144519728975687,0.0002032682343563
155904,-0.24,-0.23,-0.23,-16.29,-16.0,-15.73,213.54,Stairs,2509.0,3.18852132323635e-05,3.5870864886408924e-05,3.5870864886408924e-05,-0.01509366281387,-0.0150378636907134,-0.0150259067357512,0.0002391390992427
158413,-0.62,-0.62,-0.61,-49.0,-48.89,-48.68,213.87,Stairs,2509.0,-0.0001514547628537,-0.0001554404145077,-0.0001514547628537,-0.0130370665603826,-0.0131088082901554,-0.0131327222000797,0.0001315265045835
160922,-0.34,-0.33,-0.34,-36.69,-36.72,-36.81,213.88,Stairs,2509.0,0.0001115982463132,0.0001155838979673,0.0001076125946592,0.0049063371861299,0.0048505380629732,0.0047309685133519,3.985651654041811e-06
163431,-0.4,-0.4,-0.4,9.23,8.76,8.42,213.68,Stairs,2509.0,-2.3913909924272617e-05,-2.7899561578318056e-05,-2.3913909924272617e-05,0.0183021123953766,0.0181267437225986,0.0180271024312475,-7.97130330809042e-05
165940,-0.25,-0.25,-0.25,51.68,52.88,53.27,213.3,Stairs,2509.0,5.978477481068155e-05,5.978477481068155e-05,5.978477481068155e-05,0.0169190912714228,0.0175846950976484,0.0178756476683937,-0.0001514547628537
168449,-0.56,-0.56,-0.56,45.31,45.92,46.77,212.9,Stairs,2509.0,-0.0001235552012754,-0.0001235552012754,-0.0001235552012754,-0.0025388601036269,-0.0027740135512156,-0.0025906735751295,-0.0001594260661618
170958,-0.24,-0.24,-0.24,-51.24,-50.89,-50.51,212.4,Stairs,2509.0,0.0001275408529294,0.0001275408529294,0.0001275408529294,-0.0384814667198086,-0.0385850936628138,-0.038772419290554,-0.0001992825827022
173467,-0.09,-0.09,-0.09,-7.51,-7.34,-7.11,211.82,Stairs,2509.0,5.9784774810681545e-05,5.9784774810681545e-05,5.9784774810681545e-05,0.0174292546831406,0.0173575129533678,0.0172977281785571,-0.0002311677959346
175976,-0.05,-0.05,-0.04,11.4,11.09,10.74,211.28,Stairs,2509.0,1.5942606616181743e-05,1.5942606616181743e-05,1.9928258270227185e-05,0.0075368672777999,0.0073455559984057,0.0071143882024711,-0.0002152251893184
178485,-0.16,-0.16,-0.17,71.18,71.57,71.7,211.08,Stairs,2509.0,-4.38421681944998e-05,-4.38421681944998e-05,-5.1813471502590674e-05,0.0238262255878836,0.0241052212036667,0.0242965324830609,-7.97130330809042e-05
