timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,altitude,activity,delta_time,accelX_rate_of_change,accelY_rate_of_change,accelZ_rate_of_change,gyroX_rate_of_change,gyroY_rate_of_change,gyroZ_rate_of_change,altitude_rate_of_change
5559,0.03,0.03,0.03,-7.95,-8.0,-8.08,210.93,Lift,2509.0,1.5942606616181746e-05,1.5942606616181746e-05,1.9928258270227182e-05,-0.0034794738939816663,-0.003567158230370665,-0.003642885611797529,-0.00030689517736149133
8068,0.1,0.09,0.11,5.3,5.25,5.15,210.57,Lift,2509.0,2.7899561578318056e-05,2.3913909924272617e-05,3.188521323236349e-05,0.005280988441610204,0.005280988441610204,0.0052730171383021125,-0.00014348345954564115
10577,0.11,0.11,0.11,-5.85,-5.93,-5.94,210.79,Lift,2509.0,3.985651654045435e-06,7.971303308090875e-06,0.0,-0.004444001594260661,-0.004455958549222798,-0.004420087684336389,8.768433638899914e-05
13086,0.01,0.01,0.01,2.32,2.31,2.36,211.51,Lift,2509.0,-3.9856516540454363e-05,-3.9856516540454363e-05,-3.9856516540454363e-05,0.0032562774013551216,0.0032841769629334398,0.0033080908728577124,0.00028696691909127096
15594,0.05,0.05,0.05,-3.08,-3.04,-3.05,212.53,Lift,2508.0,1.594896331738437e-05,1.594896331738437e-05,1.594896331738437e-05,-0.0021531100478468903,-0.002133173843700159,-0.0021570972886762363,0.0004066985645933055
18103,-0.02,-0.02,-0.02,-9.04,-9.07,-9.14,213.65,Lift,2509.0,-2.7899561578318056e-05,-2.7899561578318056e-05,-2.7899561578318056e-05,-0.0023754483858110798,-0.0024033479473893984,-0.002427261857313671,0.0004463929852530907
20612,0.03,0.03,0.03,-0.76,-0.85,-0.85,214.51,Lift,2509.0,1.9928258270227182e-05,1.9928258270227182e-05,1.9928258270227182e-05,0.0033001195695496212,0.003276205659625349,0.0033041052212036673,0.0003427660422479016
23121,0.03,0.03,0.03,-1.02,-1.07,-1.16,215.2,Lift,2509.0,0.0,0.0,0.0,-0.00010362694300518135,-8.768433638899963e-05,-0.0001235552012754085,0.0002750099641291342
25630,0.0,0.0,0.0,-0.21,-0.11,-0.1,215.61,Lift,2509.0,-1.1956954962136309e-05,-1.1956954962136309e-05,-1.1956954962136309e-05,0.0003228377839776804,0.00038262255878836193,0.0004224790753288162,0.00016341171781587287
28139,0.01,0.01,0.01,-1.53,-1.6,-1.52,215.99,Lift,2509.0,3.9856516540454365e-06,3.9856516540454365e-06,3.9856516540454365e-06,-0.0005261060183339977,-0.00059386209645277,-0.000565962534874452,0.00015145476285372477
30648,0.02,0.02,0.02,-1.41,-1.51,-1.61,216.25,Lift,2509.0,3.9856516540454365e-06,3.9856516540454365e-06,3.9856516540454365e-06,4.782781984854528e-05,3.587086488640896e-05,-3.587086488640896e-05,0.00010362694300517772
33108,0.04,0.04,0.05,-4.18,-4.25,-4.28,217.72,Lift,2460.0,8.130081300813009e-06,8.130081300813009e-06,1.2195121951219513e-05,-0.0011260162601626014,-0.0011138211382113823,-0.0010853658536585365,0.0005975609756097557
33157,-0.0,0.0,0.0,-0.7,-0.63,-0.72,216.48,Lift,49.0,-0.0008163265306122449,-0.0008163265306122449,-0.0010204081632653062,0.0710204081632653,0.07387755102040816,0.0726530612244898,-0.025306122448979777
35617,0.05,0.06,0.06,-1.4,-1.36,-1.34,217.49,Lift,2460.0,2.032520325203252e-05,2.4390243902439022e-05,2.4390243902439022e-05,-0.0002845528455284553,-0.00029674796747967486,-0.0002520325203252033,0.0004105691056910648
35666,0.01,0.01,0.01,-0.5,-0.5,-0.56,216.58,Lift,49.0,-0.0008163265306122449,-0.001020408163265306,-0.001020408163265306,0.01836734693877551,0.017551020408163268,0.015918367346938776,-0.018571428571428503
38126,0.01,0.01,0.02,-1.18,-1.14,-0.98,216.8,Lift,2460.0,0.0,0.0,4.0650406504065046e-06,-0.00027642276422764223,-0.00026016260162601624,-0.00017073170731707313,8.943089430894263e-05
38175,0.02,0.02,0.02,-2.6,-2.64,-2.8,216.26,Lift,49.0,0.00020408163265306123,0.00020408163265306123,0.0,-0.028979591836734698,-0.03061224489795919,-0.03714285714285714,-0.011020408163265724
40635,0.02,0.02,0.03,-1.08,-1.18,-1.24,215.75,Lift,2460.0,0.0,0.0,4.065040650406504e-06,0.0006178861788617887,0.0005934959349593497,0.0006341463414634145,-0.00020731707317072802
40684,0.05,0.04,0.04,-2.32,-2.27,-2.17,215.58,Lift,49.0,0.0006122448979591838,0.00040816326530612246,0.00020408163265306126,-0.025306122448979586,-0.022244897959183677,-0.018979591836734692,-0.0034693877551017858
43144,0.02,0.02,0.02,-1.92,-1.75,-1.77,214.48,Lift,2460.0,-1.2195121951219513e-05,-8.130081300813009e-06,-8.130081300813009e-06,0.00016260162601626014,0.00021138211382113823,0.00016260162601626014,-0.0004471544715447247
43193,0.04,0.04,0.05,-0.58,-0.41,-0.38,214.58,Lift,49.0,0.00040816326530612246,0.00040816326530612246,0.0006122448979591838,0.027346938775510202,0.027346938775510206,0.028367346938775514,0.0020408163265310765
45653,0.03,0.03,0.02,-2.37,-2.44,-2.47,213.06,Lift,2460.0,-4.0650406504065046e-06,-4.0650406504065046e-06,-1.2195121951219513e-05,-0.0007276422764227643,-0.0008252032520325202,-0.0008495934959349595,-0.0006178861788617928
45702,0.05,0.05,0.05,-1.28,-1.11,-0.98,213.26,Lift,49.0,0.0004081632653061225,0.0004081632653061225,0.0006122448979591838,0.022244897959183677,0.02714285714285714,0.030408163265306126,0.004081632653060992
48162,0.01,0.01,0.01,-7.66,-7.68,-7.55,211.45,Lift,2460.0,-1.6260162601626018e-05,-1.6260162601626018e-05,-1.6260162601626018e-05,-0.0025934959349593494,-0.002670731707317073,-0.0026707317073170734,-0.0007357723577235782
50671,0.05,0.05,0.05,-2.08,-2.15,-2.23,209.8,Lift,2460.0,-1.2195121951219511e-05,-1.2195121951219511e-05,-1.2195121951219511e-05,0.0019796747967479674,0.001959349593495935,0.0019308943089430895,-0.0007886178861788609
53180,0.07,0.07,0.07,0.76,0.73,0.63,208.03,Lift,2460.0,5.284552845528456e-05,5.284552845528456e-05,5.284552845528456e-05,-0.00741869918699187,-0.0075,-0.007593495934959349,-0.0008861788617886207
55689,0.06,0.06,0.06,-0.21,-0.21,-0.23,206.33,Lift,2460.0,2.032520325203252e-05,2.032520325203252e-05,1.6260162601626015e-05,0.025528455284552845,0.025585365853658535,0.025613821138211385,-0.0008739837398373891
58198,0.03,0.03,0.03,-1.34,-1.27,-1.26,205.07,Lift,2461.0,2.8443722064201547e-05,3.2507110930516054e-05,2.8443722064201547e-05,-0.0014790735473384801,-0.0014018691588785048,-0.0013531084924827306,-0.0006867127184071506
60707,0.04,0.04,0.04,-1.27,-1.38,-1.45,204.12,Lift,2461.0,-4.8760666395774074e-05,-4.8760666395774074e-05,-4.8760666395774074e-05,0.006241365298659081,0.006156034132466478,0.006074766355140187,-0.0004469727752945934
63215,0.04,0.04,0.04,-0.45,-0.46,-0.31,203.59,Lift,2460.0,-3.6585365853658535e-05,-4.065040650406504e-05,-4.065040650406504e-05,0.00343089430894309,0.003451219512195121,0.003532520325203252,-0.0001707317073170681
65724,0.04,0.04,0.04,-1.76,-1.73,-1.79,203.06,Lift,2460.0,-2.032520325203252e-05,-2.032520325203252e-05,-2.032520325203252e-05,0.0003455284552845528,0.00032520325203252027,0.00028048780487804876,-3.6585365853659924e-05
68233,0.04,0.04,0.04,-2.95,-2.77,-2.6,202.68,Lift,2460.0,-2.032520325203252e-05,-2.032520325203252e-05,-1.6260162601626018e-05,0.005508130081300813,0.005723577235772359,0.005845528455284553,5.6910569105697066e-05
70742,0.05,0.04,0.04,-0.44,-0.39,-0.25,202.42,Lift,2460.0,-2.8455284552845524e-05,-2.845528455284553e-05,-2.845528455284553e-05,-0.009626016260162601,-0.009491869918699188,-0.009365853658536585,9.756097560974824e-05
73251,0.06,0.06,0.06,-1.28,-1.34,-1.44,202.33,Lift,2460.0,-8.130081300813009e-06,-8.130081300813009e-06,-1.2195121951219511e-05,0.0012926829268292681,0.0014146341463414636,0.0014796747967479676,0.0002032520325203252
75760,0.08,0.08,0.08,-1.08,-1.09,-1.04,202.73,Lift,2460.0,-1.6260162601626015e-05,-1.6260162601626015e-05,-1.6260162601626015e-05,0.0017845528455284552,0.0017357723577235773,0.0017235772357723578,0.00045528455284551874
78269,0.04,0.04,0.04,3.38,3.39,3.34,203.52,Lift,2460.0,-5.284552845528456e-05,-5.284552845528456e-05,-5.284552845528456e-05,-0.0006788617886178862,-0.0005731707317073169,-0.0005081300813008131,0.0007764227642276409
78318,0.02,0.03,0.03,7.44,7.44,7.44,202.23,Lift,49.0,-0.00040816326530612246,-0.00020408163265306126,-0.00020408163265306126,0.08285714285714287,0.08265306122448982,0.0836734693877551,-0.026326530612245314
80778,0.05,0.05,0.05,-1.12,-1.04,-0.96,204.59,Lift,2460.0,1.2195121951219513e-05,8.130081300813009e-06,8.130081300813009e-06,-0.003479674796747968,-0.0034471544715447156,-0.0034146341463414634,0.0009593495934959405
83287,0.04,0.05,0.05,-2.14,-2.21,-2.26,205.88,Lift,2460.0,2.4390243902439022e-05,2.845528455284553e-05,2.845528455284553e-05,-0.025402439024390246,-0.02561788617886179,-0.025800813008130082,0.0011300813008130086
85652,-0.14,-0.14,-0.14,0.58,0.54,0.56,214.07,Lift,2316.0,-9.067357512953368e-05,-9.067357512953368e-05,-9.067357512953368e-05,-0.01202504317789292,-0.012219343696027634,-0.012344559585492227,0.004235751295336788
88305,0.03,0.03,0.03,-2.73,-2.77,-2.79,208.89,Lift,2460.0,-3.6585365853658535e-05,-3.6585365853658535e-05,-3.6585365853658535e-05,-0.007857723577235774,-0.00798780487804878,-0.008134146341463413,0.0013455284552845422
