timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,altitude,activity,delta_time,accelX_rate_of_change,accelY_rate_of_change,accelZ_rate_of_change,gyroX_rate_of_change,gyroY_rate_of_change,gyroZ_rate_of_change,altitude_rate_of_change
90671,-0.17,-0.18,-0.18,20.7,19.07,17.56,213.86,Stairs,2509.0,-8.369868473495417e-05,-8.76843363889996e-05,-8.76843363889996e-05,0.005559984057393384,0.005049820645675568,0.004587485053806297,-5.181347150258886e-05
93180,-0.15,-0.16,-0.16,-56.27,-56.93,-57.51,213.5,Stairs,2509.0,7.97130330809088e-06,7.97130330809087e-06,7.97130330809087e-06,-0.030677560781187725,-0.03029095257074532,-0.029920286966919087,-0.00014348345954564115
95689,-0.17,-0.17,-0.18,-51.32,-53.05,-54.76,213.06,Stairs,2509.0,-7.97130330809088e-06,-3.98565165404544e-06,-7.97130330809087e-06,0.001972897568752492,0.0015464328417696303,0.001096054204862495,-0.0001753686727779983
98198,-0.08,-0.08,-0.08,-71.0,-70.7,-70.47,212.42,Stairs,2509.0,3.587086488640893e-05,3.587086488640893e-05,3.9856516540454363e-05,-0.00784376245516142,-0.007034675169390198,-0.006261458748505381,-0.00025508170585891385
100707,-0.24,-0.24,-0.24,-51.17,-49.85,-48.61,211.79,Stairs,2509.0,-6.377042646472697e-05,-6.377042646472697e-05,-6.377042646472697e-05,0.007903547229972099,0.008310083698684736,0.008712634515743323,-0.0002510960542048607
103216,-0.08,-0.08,-0.08,43.11,43.89,44.68,211.56,Stairs,2509.0,6.377042646472697e-05,6.377042646472697e-05,6.377042646472697e-05,0.03757672379434038,0.03736149860502192,0.03718214428058987,-9.166998804304096e-05
105725,-0.17,-0.18,-0.18,68.34,68.35,68.27,211.67,Stairs,2509.0,-3.587086488640893e-05,-3.9856516540454363e-05,-3.9856516540454363e-05,0.010055799123156638,0.009748903945795135,0.009402152251893184,4.384216819449391e-05
108234,-0.03,-0.02,-0.02,34.26,33.76,33.46,212.04,Stairs,2509.0,5.579912315663611e-05,6.377042646472698e-05,6.377042646472698e-05,-0.01358310083698685,-0.013786369071343164,-0.013874053407732163,0.00014746911119968296
110743,-0.24,-0.24,-0.24,-80.95,-80.5,-79.98,212.38,Stairs,2509.0,-8.369868473495416e-05,-8.76843363889996e-05,-8.76843363889996e-05,-0.04591869270625747,-0.04554005579912315,-0.04521323236349143,0.0001355121562375462
113252,-0.19,-0.19,-0.19,80.97,80.77,80.49,212.78,Stairs,2509.0,1.992825827022718e-05,1.992825827022718e-05,1.992825827022718e-05,0.06453567158230371,0.06427660422479074,0.06395775209246712,0.00015942606616181973
115761,-0.19,-0.19,-0.2,32.37,33.63,34.88,213.37,Stairs,2509.0,0.0,0.0,-3.98565165404544e-06,-0.01937026703866082,-0.018788361897170185,-0.018178557194101233,0.00023515344758868212
118270,-0.44,-0.44,-0.44,-30.8,-31.2,-31.51,214.04,Stairs,2509.0,-9.964129135113592e-05,-9.964129135113592e-05,-9.565563969709047e-05,-0.025177361498605024,-0.025838979673176565,-0.02646074133120765,0.00026703866082103926
120779,-0.17,-0.17,-0.17,19.56,20.02,20.38,214.39,Stairs,2509.0,0.0001076125946592268,0.0001076125946592268,0.0001076125946592268,0.02007174172977282,0.020414507772020724,0.02068154643284177,0.000139497807891588
123288,-0.15,-0.15,-0.15,-36.1,-35.29,-34.47,214.38,Stairs,2509.0,7.97130330809088e-06,7.97130330809088e-06,7.97130330809088e-06,-0.0221841371064169,-0.02204463929852531,-0.021861299322439215,-3.985651654041811e-06
125797,-0.33,-0.32,-0.32,37.16,37.0,36.76,214.19,Stairs,2509.0,-7.174172977281786e-05,-6.775607811877243e-05,-6.775607811877243e-05,0.029198884017536862,0.028812275807094456,0.02838979673176564,-7.572738142686239e-05
128306,-0.21,-0.21,-0.21,41.0,40.85,40.56,213.82,Stairs,2509.0,4.782781984854525e-05,4.384216819449981e-05,4.384216819449981e-05,0.001530490235153449,0.0015344758868074935,0.0015145476285372676,-0.00014746911119968296
130815,-0.37,-0.36,-0.36,-1.37,-0.79,-0.31,213.22,Stairs,2509.0,-6.377042646472698e-05,-5.9784774810681545e-05,-5.9784774810681545e-05,-0.016887206058190513,-0.016596253487445197,-0.016289358310083702,-0.00023913909924272393
133324,-0.52,-0.53,-0.54,-49.75,-50.93,-51.99,212.66,Stairs,2509.0,-5.978477481068155e-05,-6.775607811877243e-05,-7.174172977281788e-05,-0.019282582702271824,-0.019984057393383818,-0.020597847748106815,-0.00022319649262654535
135833,-0.66,-0.66,-0.66,-70.21,-70.98,-71.78,211.91,Stairs,2509.0,-5.579912315663611e-05,-5.1813471502590674e-05,-4.7827819848545235e-05,-0.008154643284176961,-0.007991231566361102,-0.007887604623355918,-0.0002989238740534077
138341,-0.28,-0.28,-0.28,101.85,102.9,104.02,211.44,Stairs,2508.0,0.00015151515151515152,0.00015151515151515152,0.00015151515151515152,0.06860446570972886,0.06933014354066985,0.07009569377990431,-0.00018740031897926588
140850,-0.28,-0.28,-0.28,75.18,75.15,75.17,211.34,Stairs,2509.0,0.0,0.0,0.0,-0.010629732961339174,-0.011060183339976087,-0.011498605021921082,-3.98565165404521e-05
143359,-0.36,-0.36,-0.36,87.63,87.02,86.31,211.44,Stairs,2509.0,-3.188521323236348e-05,-3.188521323236348e-05,-3.188521323236348e-05,0.004962136309286564,0.004730968513351929,0.004440015942606616,3.98565165404521e-05
145868,-0.56,-0.56,-0.56,-2.79,-3.38,-4.1,211.65,Stairs,2509.0,-7.971303308090875e-05,-7.971303308090875e-05,-7.971303308090875e-05,-0.036038262255878833,-0.036030290952570744,-0.03603427660422479,8.369868473495733e-05
148377,-0.26,-0.26,-0.25,2.98,2.51,2.25,211.98,Stairs,2509.0,0.0001195695496213631,0.0001195695496213631,0.00012355520127540855,0.0022997210043842167,0.002347548824232762,0.002530888800318852,0.00013152650458349307
150886,-0.2,-0.2,-0.2,-14.99,-14.64,-14.29,212.43,Stairs,2509.0,2.3913909924272617e-05,2.3913909924272617e-05,1.992825827022718e-05,-0.007162216022319649,-0.006835392586687923,-0.006592267835791151,0.00017935432443205143
153395,-0.32,-0.32,-0.32,21.58,21.73,21.97,212.94,Stairs,2509.0,-4.7827819848545235e-05,-4.7827819848545235e-05,-4.7827819848545235e-05,0.014575528098844161,0.014495815065763255,0.014451972897568752,0.00020326823435631364
155904,-0.24,-0.23,-0.23,-16.29,-16.0,-15.73,213.54,Stairs,2509.0,3.18852132323635e-05,3.5870864886408924e-05,3.5870864886408924e-05,-0.015093662813870068,-0.015037863690713433,-0.015025906735751297,0.00023913909924272393
158413,-0.62,-0.62,-0.61,-49.0,-48.89,-48.68,213.87,Stairs,2509.0,-0.0001514547628537266,-0.00015544041450777204,-0.0001514547628537266,-0.013037066560382622,-0.013108808290155441,-0.013132722200079714,0.00013152650458350437
160922,-0.34,-0.33,-0.34,-36.69,-36.72,-36.81,213.88,Stairs,2509.0,0.00011159824631327221,0.00011558389796731764,0.00010761259465922677,0.004906337186129933,0.0048505380629732964,0.004730968513351932,3.985651654041811e-06
163431,-0.4,-0.4,-0.4,9.23,8.76,8.42,213.68,Stairs,2509.0,-2.3913909924272617e-05,-2.7899561578318056e-05,-2.3913909924272617e-05,0.018302112395376643,0.018126743722598645,0.01802710243124751,-7.97130330809042e-05
165940,-0.25,-0.25,-0.25,51.68,52.88,53.27,213.3,Stairs,2509.0,5.978477481068155e-05,5.978477481068155e-05,5.978477481068155e-05,0.016919091271422878,0.017584695097648467,0.017875647668393783,-0.00015145476285372477
168449,-0.56,-0.56,-0.56,45.31,45.92,46.77,212.9,Stairs,2509.0,-0.00012355520127540855,-0.00012355520127540855,-0.00012355520127540855,-0.002538860103626942,-0.002774013551215624,-0.0025906735751295338,-0.00015942606616181973
170958,-0.24,-0.24,-0.24,-51.24,-50.89,-50.51,212.4,Stairs,2509.0,0.000127540852929454,0.000127540852929454,0.000127540852929454,-0.03848146671980869,-0.038585093662813874,-0.03877241929055401,-0.00019928258270227183
173467,-0.09,-0.09,-0.09,-7.51,-7.34,-7.11,211.82,Stairs,2509.0,5.9784774810681545e-05,5.9784774810681545e-05,5.9784774810681545e-05,0.017429254683140695,0.017357512953367873,0.017297728178557195,-0.0002311677959346403
175976,-0.05,-0.05,-0.04,11.4,11.09,10.74,211.28,Stairs,2509.0,1.5942606616181743e-05,1.5942606616181743e-05,1.9928258270227182e-05,0.00753686727779992,0.007345555998405739,0.007114388202471104,-0.0002152251893184504
178485,-0.16,-0.16,-0.17,71.18,71.57,71.7,211.08,Stairs,2509.0,-4.38421681944998e-05,-4.38421681944998e-05,-5.1813471502590674e-05,0.023826225587883623,0.024105221203666795,0.02429653248306098,-7.97130330809042e-05
180994,-0.13,-0.13,-0.12,-34.63,-34.91,-35.18,211.09,Stairs,2509.0,1.1956954962136309e-05,1.1956954962136309e-05,1.992825827022719e-05,-0.04217218015145476,-0.0424392188122758,-0.042598644878437626,3.985651654041811e-06
183503,-0.42,-0.42,-0.42,101.11,101.18,101.17,211.33,Stairs,2509.0,-0.00011558389796731764,-0.00011558389796731764,-0.00011956954962136309,0.05410123555201276,0.05424073335990435,0.054344360302909525,9.56556396970941e-05
186012,-0.34,-0.34,-0.34,20.58,20.65,20.73,211.61,Stairs,2509.0,3.188521323236348e-05,3.188521323236348e-05,3.188521323236348e-05,-0.0320964527700279,-0.0320964527700279,-0.03206058190514149,0.00011159824631327267
188521,-0.13,-0.13,-0.13,-58.1,-57.72,-57.32,212.02,Stairs,2509.0,8.369868473495417e-05,8.369868473495417e-05,8.369868473495417e-05,-0.0313591072140295,-0.031235552012754086,-0.03110801115982463,0.00016341171781586154
191030,-0.4,-0.39,-0.39,63.2,63.21,63.21,212.39,Stairs,2509.0,-0.0001076125946592268,-0.00010362694300518135,-0.00010362694300518135,0.04834595456357115,0.048198485452371466,0.04803905938620964,0.00014746911119967163
193539,-0.25,-0.25,-0.25,-93.42,-93.72,-93.97,212.85,Stairs,2509.0,5.978477481068155e-05,5.579912315663611e-05,5.579912315663611e-05,-0.06242327620565963,-0.06254683140693504,-0.06264647269828617,0.00018333997608609325
196048,-0.18,-0.18,-0.18,11.06,11.4,11.78,213.41,Stairs,2509.0,2.7899561578318056e-05,2.7899561578318056e-05,2.7899561578318056e-05,0.04164208848146672,0.04189717018732563,0.04214826624153049,0.00022319649262654535
